erp_contract_id,crm_customer_id,erp_vehicle_id,start_dt,end_dt,monthly_payment,branch,contract_type,km_limit,maintenance_included,insurance_included,payment_method,contract_status,erp_last_updated
ERP_LSE000001,CRM_CUS005204,ERP_VH014386,2023-06-08,2027-05-18,14263,Polokwane,Full Maintenance,3000,Y,N,Credit Card,Active,2025-05-19 23:39
ERP_LSE000002,CRM_CUS120256,ERP_VH051022,2022-12-08,2023-12-03,19430,Durban,Maintenance Only,2000,Y,Y,Credit Card,Active,2023-06-24 09:56
ERP_LSE000003,CRM_CUS005120,ERP_VH045805,2024-09-02,2025-08-28,8792,Durban,Full Maintenance,2000,N,Y,Bank Transfer,Active,2025-04-10 08:38
ERP_LSE000004,CRM_CUS013861,ERP_VH021861,2024-04-22,2028-04-01,13972,Rustenburg,Maintenance Only,3000,Y,Y,Credit Card,Active,2024-08-29 18:57
ERP_LSE000005,CRM_CUS103522,ERP_VH005249,2024-09-21,2027-09-06,17263,Pretoria,Full Maintenance,2000,Y,Y,Credit Card,Active,2025-04-24 09:54
ERP_LSE000006,CRM_CUS008439,ERP_VH013277,2024-03-31,2026-03-21,24517,Rustenburg,Maintenance Only,2000,Y,Y,Direct Debit,Active,2025-01-16 18:11
ERP_LSE000007,CRM_CUS014703,ERP_VH007408,2023-10-14,2025-10-03,15612,Kimberley,Full Maintenance,4000,Y,Y,Direct Debit,Active,2023-11-26 08:10
ERP_LSE000008,CRM_CUS124008,ERP_VH057493,2023-03-03,2027-02-10,18560,Cape Town,Maintenance Only,3500,Y,Y,Direct Debit,Active,2024-07-05 10:15
ERP_LSE000009,CRM_CUS058117,ERP_VH005746,2023-04-15,2026-03-30,10810,Polokwane,Full Maintenance,3000,Y,Y,Direct Debit,Active,2024-11-02 07:40
ERP_LSE000010,CRM_CUS095167,ERP_VH018277,2023-07-30,2027-07-09,15200,Port Elizabeth,Full Maintenance,3000,Y,Y,Direct Debit,Active,2025-07-01 13:22
ERP_LSE000011,CRM_CUS046148,ERP_VH027868,2023-05-27,2026-05-11,6526,Rustenburg,Maintenance Only,4000,Y,N,Direct Debit,Active,2023-07-26 12:46
ERP_LSE000012,CRM_CUS070226,ERP_VH004830,2024-04-12,2027-03-28,14372,Johannesburg,Maintenance Only,2500,Y,N,Direct Debit,Active,2025-02-08 04:35
ERP_LSE000013,CRM_CUS084214,ERP_VH027171,2024-08-21,2027-08-06,13269,Pretoria,Maintenance Only,3000,Y,Y,Direct Debit,Active,2025-03-11 03:51
ERP_LSE000014,CRM_CUS119860,ERP_VH056921,2024-12-07,2026-11-27,11335,Bloemfontein,Full Maintenance,3500,Y,N,Direct Debit,Active,2025-04-30 19:16
ERP_LSE000015,CRM_CUS029934,ERP_VH003452,2024-02-17,2028-01-27,9731,Durban,Full Maintenance,3000,Y,N,Direct Debit,Completed,2024-10-09 18:58
ERP_LSE000016,CRM_CUS089704,ERP_VH058598,2022-11-18,2025-11-02,17096,Johannesburg,Full Maintenance,3000,Y,Y,Credit Card,Active,2023-01-23 20:28
ERP_LSE000017,CRM_CUS044833,ERP_VH023677,2025-07-04,2029-06-13,18261,Durban,Full Maintenance,3000,Y,Y,Direct Debit,Active,2025-07-05 06:40
ERP_LSE000018,CRM_CUS023651,ERP_VH043643,2023-06-07,2025-05-27,19243,Port Elizabeth,Non-Maintained,2500,Y,N,Direct Debit,Terminated,2025-03-23 14:53
ERP_LSE000019,CRM_CUS100722,ERP_VH025669,2025-02-06,2026-02-01,5251,Cape Town,Maintenance Only,2000,N,N,Credit Card,Active,2025-05-11 12:24
ERP_LSE000020,CRM_CUS149409,ERP_VH051644,2022-12-12,2024-12-01,16055,Rustenburg,Full Maintenance,2000,Y,Y,Credit Card,Active,2024-01-09 13:19
ERP_LSE000021,CRM_CUS025325,ERP_VH025538,2024-04-17,2027-04-02,24218,Durban,Maintenance Only,3000,Y,Y,Bank Transfer,Completed,2025-03-06 18:21
ERP_LSE000022,CRM_CUS083188,ERP_VH039231,2023-08-07,2025-07-27,10970,Durban,Full Maintenance,4000,N,Y,Direct Debit,Active,2023-12-19 13:30
ERP_LSE000023,CRM_CUS067798,ERP_VH056408,2024-09-21,2026-09-11,24856,Pretoria,Non-Maintained,2500,Y,N,Direct Debit,Active,2024-10-05 03:05
ERP_LSE000024,CRM_CUS065065,ERP_VH059995,2023-10-30,2024-10-24,7944,Nelspruit,Full Maintenance,2000,Y,Y,Direct Debit,Active,2025-04-26 02:37
ERP_LSE000025,CRM_CUS141774,ERP_VH040091,2025-03-24,2026-03-19,16564,Bloemfontein,Maintenance Only,3000,Y,N,Credit Card,Active,2025-04-21 08:32
ERP_LSE000026,CRM_CUS031700,ERP_VH014036,2024-05-26,2027-05-11,8438,Pretoria,Non-Maintained,3500,Y,N,Direct Debit,Terminated,2025-06-26 15:33
ERP_LSE000027,CRM_CUS104811,ERP_VH017230,2023-03-10,2027-02-17,9840,Cape Town,Full Maintenance,4000,Y,Y,Direct Debit,Active,2025-03-28 19:51
ERP_LSE000028,CRM_CUS026604,ERP_VH052331,2024-09-03,2028-08-13,11876,Pretoria,Full Maintenance,3500,Y,N,Direct Debit,Active,2025-04-26 21:59
ERP_LSE000029,CRM_CUS010116,ERP_VH001756,2024-11-14,2025-11-09,6041,Port Elizabeth,Full Maintenance,3500,Y,N,Credit Card,Active,2025-02-25 21:27
ERP_LSE000030,CRM_CUS034938,ERP_VH002485,2024-02-26,2028-02-05,11243,Johannesburg,Full Maintenance,2000,N,Y,Direct Debit,Active,2024-08-06 16:41
ERP_LSE000031,CRM_CUS045356,ERP_VH010769,2023-11-28,2025-11-17,5235,Bloemfontein,Full Maintenance,2500,Y,N,Credit Card,Active,2024-09-03 01:06
ERP_LSE000032,CRM_CUS093164,ERP_VH052682,2024-05-03,2028-04-12,20024,Durban,Maintenance Only,2500,Y,Y,Credit Card,Active,2024-10-26 15:26
ERP_LSE000033,CRM_CUS125591,ERP_VH004586,2024-05-19,2026-05-09,9378,Cape Town,Maintenance Only,4000,Y,Y,Direct Debit,Completed,2025-05-31 06:19
ERP_LSE000034,CRM_CUS103267,ERP_VH051394,2023-02-20,2024-02-15,7687,Johannesburg,Full Maintenance,3500,Y,N,Direct Debit,Active,2023-08-27 14:45
